repo_name,num_commits,num_months,commit_frequency,max_days_between_commits,avg_days_between_commits,num_unique_authors,commit_frequency_extra,avg_days_between_commits_extra,num_commits_extra,num_unique_authors_extra,num_months_extra,maintenance_category
alex391/pypi-to-spack-package,0.693147181,0.693147181,0.693147181,175,5.170483995,0.693147181,1,175,1,1,1,Low maintenance
alpine-quantum-technologies/Cirq,3.526360525,1.326190437,2.559373135,205,1.234744463,1.098612289,11.92771084,2.4375,33,2,2.766666667,High maintenance
alpine-quantum-technologies/artiq,3.713572067,1.622683139,2.382879976,64,1.333650628,1.098612289,9.836065574,2.794871795,40,2,4.066666667,High maintenance
alvarballon/qml_test,0.693147181,0.693147181,0.693147181,183,5.214935758,0.693147181,1,183,1,1,1,Low maintenance
amiralitor7/pennylane,1.609437912,0.693147181,1.609437912,4,0,1.609437912,4,0,4,4,1,Low maintenance
anbangw/tweedledum,2.197224577,0.693147181,2.197224577,27,0,0.693147181,8,0,8,1,1,Low maintenance
andrekuo/SQuADDS,0.693147181,0.693147181,0.693147181,121,4.804021045,0.693147181,1,121,1,1,1,Low maintenance
andrijapau/pennylane,2.63905733,1.402823663,1.656155537,84,2.140066163,1.791759469,4.239130435,7.5,13,5,3.066666667,High maintenance
anmol77/QuantumKatas,2.944438979,1.243193517,2.115929835,208,1.632694775,0.693147181,7.297297297,4.117647059,18,1,2.466666667,Low maintenance
annagrin/cuda-quantum,6.095824562,2.345005809,3.870390907,45,0.377940435,2.995732274,46.96113074,0.459276018,443,19,9.433333333,High maintenance
anneriet/Qualtran,0.693147181,0.693147181,0.693147181,208,5.342334252,0.693147181,1,208,1,1,1,Low maintenance
anuragm/openqasm,1.945910149,0.693147181,1.945910149,270,1.609437912,0.693147181,6,4,6,1,1,Low maintenance
anurudhp/Qualtran,3.63758616,2.00597439,1.909734388,80,1.828127113,0.693147181,5.751295337,5.222222222,37,1,6.433333333,High maintenance
aoife-boyle/mpqp,1.098612289,0.693147181,1.098612289,147,2.079441542,0.693147181,2,7,2,1,1,Low maintenance
apatole/holohub,0.693147181,0.693147181,0.693147181,13,2.63905733,0.693147181,1,13,1,1,1,Low maintenance
apkille/QuantumOptics.jl,2.079441542,0.955511445,1.681758574,39,2.178532444,1.098612289,4.375,7.833333333,7,2,1.6,Low maintenance
applifun/pennylane,1.791759469,0.693147181,1.791759469,4,0,1.609437912,5,0,5,4,1,High maintenance
aravindh-krishnamoorthy/QuantumOptics.jl,1.098612289,0.693147181,1.098612289,242,3.17805383,0.693147181,2,23,2,1,1,Low maintenance
architeuthidae/artiq,4.543294782,1.774952351,2.994711344,18,0.839503589,1.609437912,18.97959184,1.315217391,93,4,4.9,High maintenance
ares201005/cuda-quantum,1.945910149,0.693147181,1.945910149,4,0,1.098612289,6,0,6,2,1,Low maintenance
arnaucasau/qiskit-ibm-runtime,2.302585093,0.803495238,2.115929835,202,1.704748092,1.386294361,7.297297297,4.5,9,3,1.233333333,Low maintenance
arthurC12/qua-libs,0.693147181,0.693147181,0.693147181,260,5.564520407,0.693147181,1,260,1,1,1,Low maintenance
ashiq-firoz/Cirq,3.258096538,0.693147181,3.258096538,55,0.117783036,1.386294361,25,0.125,25,3,1,High maintenance
ashsaki/qiskit-ibm-runtime,0.693147181,0.693147181,0.693147181,247,5.513428746,0.693147181,1,247,1,1,1,Low maintenance
asierpinor/pennylane,1.945910149,0.693147181,1.945910149,4,0,1.609437912,6,0,6,4,1,High maintenance
asqubit/qua-libs,3.970291914,1.835244581,2.38632107,121,1.361479192,1.791759469,9.873417722,2.901960784,52,5,5.266666667,High maintenance
