repository,issue_count,comment_count,unique_users,open_issues,first_issue,last_issue
QianJianhua1/qiskit-terra,26,38,2,5,2022-03-07,2023-03-06
QuantumJaeYoo/qsim,1,0,1,0,2023-04-29,2023-04-29
ken-nakanishi/qupy,13,20,6,2,2018-09-14,2023-03-07
KOLANICH-physics/qiskit-aqua,1,0,1,1,2024-09-03,2024-09-03
nickyInside/qiskit-terra,1,0,1,0,2019-06-17,2019-06-17
anushkrishnav/quantum,1,0,1,1,2021-03-25,2021-03-25
perak/quantum-circuit,94,151,33,12,2019-01-12,2024-09-18
XanaduAI/amazon-braket-examples,1,0,1,0,2022-06-01,2022-06-01
cmadam/qiskit-js,10,25,2,10,2019-10-04,2019-10-22
PlanQK/AnomalyDetectionWithGANs,4,0,3,0,2022-02-17,2022-12-13
Qiskit/qiskit-ibm-runtime,1981,3252,269,71,2021-10-29,2024-10-29
IvanIsCoding/qiskit-terra,14,9,1,5,2022-07-18,2023-03-06
LowkeyCoding/QuantumSetup,2,0,2,1,2024-05-19,2024-09-05
marcus-mello/QuantumComputing,1,0,1,1,2017-03-27,2017-03-27
sergiobat/QuantumKatas,1,0,1,1,2022-02-03,2022-02-03
amirebrahimi/mitiq,1,1,2,0,2022-12-20,2022-12-20
dariopicozzi/quantumsymmetry,1,2,2,0,2024-08-20,2024-08-20
anushkrishnav/pulsemaker,1,0,1,1,2021-03-05,2021-03-05
qBraid/pyqasm,54,31,7,15,2024-06-04,2024-10-29
dwavesystems/dwave-system,530,692,84,82,2018-02-21,2024-10-25
abrassel/QuantumKatas,1,0,1,0,2022-08-07,2022-08-07
trbromley/strawberryfields,3,0,1,0,2019-07-05,2019-08-22
C2QA/bosonic-qiskit,130,101,11,3,2020-10-26,2024-10-24
vprusso/qustop,6,0,1,1,2021-03-25,2021-03-26
QuantumJaeYoo/quantum,7,0,1,0,2023-05-21,2023-06-09
ihincks/qiskit-terra,2,0,1,0,2024-01-26,2024-05-02
ymd-h/diffqc,2,1,1,1,2023-01-16,2023-01-16
AbdullahKazi500/Cirq,1,0,1,1,2024-05-31,2024-05-31
vprusso/toqito,879,1828,58,52,2020-05-04,2024-10-29
ares201005/qiskit-aqua,2,0,1,0,2020-03-31,2020-05-28
QInfer/python-qinfer,155,653,21,22,2013-11-15,2022-07-02
dberthault/qoqo_iqm,1,0,1,0,2024-10-02,2024-10-02
qutip/qutip,2514,8014,635,138,2012-10-10,2024-10-25
MrGilli/Quplexity,2,1,2,1,2024-07-02,2024-07-26
shinichi-takayanagi/chimera-embedding,1,0,1,0,2016-12-19,2016-12-19
tqsd/QuReed,12,0,3,7,2023-05-01,2024-09-19
mukherr/python_repos,2,0,1,1,2021-11-08,2021-11-08
andre-a-alves/QuNetSim,1,0,1,0,2021-05-13,2021-05-13
dylan-eustice/holohub,1,0,1,0,2023-10-16,2023-10-16
apkille/QuantumOptics.jl,3,0,1,3,2024-09-17,2024-09-28
victorvwier/Quantum-Checkers-QSQI-Group-9,6,1,2,0,2021-01-13,2021-01-22
CQCL/pytket-azure,19,9,5,3,2024-07-11,2024-10-29
i2000s/HiQsimulator-1,1,0,1,0,2019-12-24,2019-12-24
tonybruguier/pyquil,16,1,1,15,2022-04-01,2023-02-12
pfittipaldi/quisp,1,0,1,0,2024-02-27,2024-02-27
neelay893/qick,3,0,1,0,2022-08-23,2022-10-05
Slimane33/pennylane,3,1,2,0,2021-05-26,2021-05-27
mkeshita/qiskit-tutorials,1,0,1,1,2022-03-29,2022-03-29
stormshawn/Qcodes,168,157,2,10,2020-10-06,2023-01-20
rajeshkumarkarra/qml,12,12,2,3,2020-08-11,2022-11-21
javinoram/VqePy,15,4,1,5,2024-02-23,2024-07-23
QuTech-Delft/quantuminspire2,313,65,12,3,2022-07-13,2024-10-25
sacpis/cuda-quantum,15,0,1,1,2024-04-15,2024-07-13
acidburn0zzz/ProjectQ,1,0,1,1,2019-12-22,2019-12-22
harshangrjn/QuantumCircuitOpt.jl,71,134,9,4,2021-06-30,2024-05-24
LiXiufan/qa-cqs,6,0,1,0,2023-05-22,2023-08-12
arcondello/dwave_neal,1,0,1,0,2017-11-15,2017-11-15
woodsp-ibm/qiskit,58,79,1,4,2022-03-09,2024-07-18
Sasha-Malik/Qommute,2,0,1,0,2023-09-28,2023-09-30
debrevitatevitae/oh-comp-kernels,1,0,1,0,2024-01-27,2024-01-27
SaashaJoshi/torchquantum,1,0,1,1,2024-05-30,2024-05-30
rfclambert/qiskit-tutorials,1,0,1,0,2019-06-27,2019-06-27
Tiamat-Tech/8Q,5,0,1,0,2021-07-13,2022-03-11
vaap96/Perceval,1,0,1,0,2023-09-08,2023-09-08
franklinscudder/QutiePy,2,2,1,0,2021-04-02,2021-04-02
asgunzi/qiskit-terra,1,0,1,0,2022-05-31,2022-05-31
manoelmarques/qiskit-optimization,1,0,1,0,2021-08-27,2021-08-27
qiskit-community/qiskit-algorithms,210,409,47,37,2022-07-05,2024-10-18
MarcDrudis/qiskit-terra,5,3,2,2,2022-05-11,2024-08-30
AroosaIjaz/Mypennylane,1,0,1,0,2019-05-09,2019-05-09
uxvrob/penaltymodel,1,0,1,0,2018-09-27,2018-09-27
Qiskit/qiskit-serverless,1522,2564,42,32,2022-09-16,2024-10-29
thenextgod/qiskit-terra,2,0,1,0,2023-01-15,2023-01-15
rshrj/Quantum-Computing-Playground,1,0,1,1,2020-05-02,2020-05-02
ChristopherElliott/QuantumKatas,1,0,1,0,2019-05-27,2019-05-27
harleypatton/grove,2,0,2,0,2017-06-18,2017-06-26
javabster/qiskit,30,20,5,8,2021-05-07,2023-06-17
tensorcircuit/tensorcircuit-ng,3,2,2,1,2024-09-07,2024-10-22
horkays/amazon-braket-examples,15,0,1,15,2024-04-01,2024-08-30
copyright2010/IQGO-Iterative-Quantum-Gate-Optimiser,1,0,1,0,2024-08-06,2024-08-06
abhilash1910/quantum,1,0,1,0,2020-12-12,2020-12-12
hoojaoh/qmasm,32,0,1,0,2018-07-25,2019-11-14
PennyLaneAI/PennyLane-IonQ,124,188,29,13,2019-09-21,2024-10-10
Jaybsoni/Quantum-Convolutional-Neural-Networks,7,1,2,0,2021-03-02,2021-04-18
sarvex/mahout,2,0,2,1,2024-06-01,2024-10-03
CQCL-DEV/quizx,11,3,3,1,2024-02-15,2024-02-20
rezah/quimb,1,0,1,0,2021-06-24,2021-06-24
czachow/qiskit-terra,19,14,1,5,2022-04-20,2023-03-06
goodchemistryco/Tangelo,395,228,21,9,2021-03-20,2024-09-25
Gopal-Dahale/pennylane,1,0,1,0,2022-10-25,2022-10-25
aniabrown/QuEST,479,539,68,46,2017-10-27,2024-10-27
CERN-IT-INNOVATION/quantum-gates,28,13,5,9,2023-01-31,2024-10-20
rohithreddykota/quantum-computing,2,0,1,0,2024-04-13,2024-09-29
WINUprj/lop-qcl,3,0,1,0,2024-04-26,2024-04-26
TasneemWatad/qiskit-experiments,1,0,1,0,2021-11-16,2021-11-16
tmittal947/pyquil,1,0,1,0,2018-10-26,2018-10-26
go-bears/quantumflow,2,1,2,1,2019-03-18,2021-04-29
inQWIRE/pyvoqc,6,0,1,5,2021-03-14,2021-04-10
EQuS/jaxquantum,6,1,2,0,2022-11-07,2024-03-05
Quantum-Software-Tools/QSPLIT-MLFT,2,0,2,0,2021-01-18,2023-02-24
L-P-B/mitiq,6,0,3,0,2021-03-17,2021-06-06
AmintorDusko/pennylane-lightning,1,0,1,1,2023-05-04,2023-05-04
boothby/dwave_networkx,3,0,1,0,2018-04-26,2019-11-28
qua-platform/py-qua-tools,240,399,33,21,2021-06-08,2024-10-29
Jain-Nishkarsh/quantumaudio,1,0,1,0,2024-08-24,2024-08-24
tech-sketch/openqaoa,2,0,1,0,2024-08-14,2024-08-26
jamestiotio/pyquil,1,0,1,0,2023-12-02,2023-12-02
ZeroInfinite/QuantumKatas,1,0,1,1,2024-01-11,2024-01-11
qiskit-community/Quantum-Challenge-Grader,180,63,34,1,2020-11-25,2024-10-03
dasanind/Qoffee-Maker,1,0,1,1,2024-07-29,2024-07-29
zapatacomputing/orqviz,60,72,11,2,2021-10-07,2023-10-10
SeQuenC-Consortium/qasm-testsuite,6,0,3,1,2024-03-05,2024-07-19
divshacker/covalent,1,0,1,0,2022-06-29,2022-06-29
yaelbh/qiskit-ibm-runtime,1,0,1,0,2024-09-02,2024-09-02
HudsonV1/qiskit-terra,1,0,1,0,2022-06-13,2022-06-13
Robin-Lai-YY/CPEN400Q-Final-Project,1,1,2,0,2023-04-16,2023-04-16
jyu00/qiskit-terra,1,2,2,0,2022-09-26,2022-09-26
BQSKit/bqskit,300,267,47,33,2021-04-29,2024-10-29
dsapandora/qbsolv,1,0,1,0,2017-02-27,2017-02-27
CSCfi/Quantum,6,0,4,0,2024-03-12,2024-09-23
Guillermo-Mijares-Vilarino/qiskit-terra,14,0,1,0,2022-07-19,2022-07-19
ManuAndy/mqt-ddsim,1,0,1,0,2023-09-05,2023-09-05
dwavesystems/dwave_sapi_dimod,2,1,2,0,2017-11-03,2017-12-07
qcware/qcware_transpile,25,3,3,4,2021-02-02,2022-12-08
qci-chen/sequencing,9,6,2,6,2022-09-08,2022-09-09
MaxKelsen/qiskit-terra,1,0,1,0,2022-08-03,2022-08-03
stared/Pulser,1,0,1,1,2022-03-10,2022-03-10
jdlozanom/quantum,10,7,2,2,2020-10-04,2023-03-25
ohadlev77/qiskit-terra,1,0,1,0,2023-07-03,2023-07-03
Tom-Julux/qutip,1,0,1,0,2021-12-02,2021-12-02
soloinovator/QuantumKatas,30,0,3,19,2022-04-03,2024-10-15
NVIDIA/cuda-q-academic,13,2,3,0,2024-07-17,2024-10-29
bennbollay/Qrack,4,2,2,1,2018-02-27,2018-04-21
vvilpas/qiskit-aer,2,0,2,0,2020-05-04,2020-08-07
quantumjim/qreative,2,1,2,0,2019-02-16,2020-03-16
weinstein/ReCirq,2,0,1,0,2021-10-15,2021-10-16
DRA-chaos/qutip,2,0,1,0,2021-10-04,2021-10-04
MaxMood96/qiskit-tutorials,58,0,1,0,2021-08-23,2023-08-22
supremacyfuture/VQC,5,3,6,2,2019-09-04,2020-02-08
ricardoprins/pennylane,1,0,1,1,2021-05-25,2021-05-25
Anders-QDevil/Qcodes,2,0,1,0,2019-11-28,2019-11-28
DiCarloLab-Delft/OpenQL,12,6,3,0,2020-03-11,2021-03-15
gate42qc/pea_hydrogen-molecule,3,0,1,3,2019-05-01,2019-05-01
ryankarle/pyquil,2,0,1,0,2018-08-31,2018-09-06
saguiras/mpqp,6,0,2,0,2024-03-06,2024-03-07
dnadlinger/oitg,3,0,1,0,2023-04-21,2024-04-11
Djack1010/tami,9,3,5,0,2020-11-02,2023-04-26
jana-d/Qcodes,1,0,1,0,2022-06-29,2022-06-29
LjungErik/QuEST,3,0,1,0,2022-04-18,2022-04-18
InfamousPlatypus/Gridsynth-Python-wrapper,3,2,1,3,2022-07-26,2022-07-26
pasqal-io/Pulser,742,1491,64,24,2020-10-02,2024-10-28
Da-Fi/qiskit-terra,23,18,1,5,2022-03-24,2023-03-06
ajay-cogsci/qiskit-tutorials,2,0,1,0,2020-09-01,2020-09-01
EoinM96/pennylane-basics,2,0,1,0,2021-01-01,2021-01-04
mabuchilab/QNET,95,124,14,27,2012-08-20,2021-09-25
spherical-tensor/QSimulator.jl,178,1,3,9,2022-05-19,2023-03-18
m3ller/dwave-system,1,0,1,0,2018-10-10,2018-10-10
paulineollitrault/qiskit-nature,4,0,1,0,2021-09-06,2022-07-13
sharmer156/Cirq,3,0,1,1,2019-01-19,2019-10-27
romanwixinger/pulse-optimization,40,8,1,7,2023-02-20,2023-07-10
klezm/Quirk,1,0,1,1,2024-03-19,2024-03-19
ikkoham/qiskit-aqua,10,2,2,0,2020-11-09,2021-02-08
urig/entropy,107,197,3,5,2021-08-04,2023-03-10
roytmanpiccoli/qiskit-terra,30,0,2,30,2023-02-11,2024-08-29
RedPitaya/pyrpl,7,24,4,2,2024-07-29,2024-10-09
giacomoRanieri/qiskit-terra,1,0,1,0,2023-04-16,2023-04-16
ionq/blqs,56,10,3,0,2021-06-03,2023-11-20
CreoDAMO/QuantumFuse_Blockchain,1,0,1,0,2024-09-15,2024-09-15
QAlgebra/qalgebra,2,0,1,2,2022-01-13,2022-01-13
uJhin/Stim,1,0,1,1,2022-05-24,2022-05-24
QuTech-Delft/qupulse,5,7,4,1,2020-01-24,2022-10-04
simo1427/quantum-minor-proj,8,3,4,0,2024-01-08,2024-01-25
ProjectQ-Framework/FermiLib,158,319,14,4,2017-05-08,2018-03-05
Anthony-Gandon/qiskit-terra,1,0,1,0,2023-01-25,2023-01-25
mwalthqs/qoqo_mock,1,0,1,0,2022-04-25,2022-04-25
yoshida-ryuhei/qiskit-braket-provider,1,2,1,1,2023-05-08,2023-05-08
ajavadia/qiskit,19,1,8,0,2018-04-23,2021-01-13
googlercolin/test-mitiq,5,0,2,0,2023-03-23,2023-03-27
QCpython/qcpy,107,30,5,10,2023-01-04,2024-10-28
numqi/numqi,44,30,4,14,2024-03-20,2024-10-16
anthony-santana/cuda-quantum,11,1,4,1,2023-10-02,2024-10-25
gecrooks/quantumflow,126,20,4,0,2019-06-03,2024-07-22
q-optimize/c3,247,403,28,50,2020-10-26,2024-06-06
bpapajewski/qupulse,1,0,1,0,2020-02-06,2020-02-06
wistaria/qailo,3,1,2,2,2023-11-05,2024-03-03
StefanoPolla/OpenFermion,2,0,1,0,2020-04-22,2020-04-23
Qulacs-Osaka/scikit-qulacs,305,619,20,26,2021-05-25,2024-09-09
t-imamichi/qiskit-terra,83,129,2,0,2018-10-16,2024-07-18
rahulsust/Quantum-Protein-Folding,1,0,1,1,2023-07-02,2023-07-02
qiboteam/qibotn,78,216,15,17,2022-03-22,2024-10-28
elizabethkunz/SQuADDS,5,0,1,0,2024-06-12,2024-07-12
ziqi-ma/QuantumKatas,2,0,1,0,2020-10-10,2020-10-10
PennyLaneAI/qml,1247,2560,182,45,2019-10-15,2024-10-29
CQCL/qbm_benchmark_dataset,28,29,3,2,2023-07-07,2024-05-17
pkjmesra/QuantumKatas,1,0,1,1,2024-07-09,2024-07-09
sarvex/qiskit-ibm-runtime,2,0,2,1,2023-06-05,2024-03-20
ngeorger/qiskit-community-tutorials,1,0,1,1,2024-05-26,2024-05-26
JoelHBierman/electronic-structure-orbital-optimization,7,0,2,1,2024-04-11,2024-10-09
joshuacrites/pennylane-plugin-template,1,0,1,1,2020-10-12,2020-10-12
HQSquantumsimulations/qoqo_mock,81,34,8,6,2021-02-04,2024-10-08
manoelmarques/qiskit-aqua,2,0,1,0,2021-01-13,2021-01-14
uguraba/openqasm,1,0,1,1,2020-01-17,2020-01-17
angelo-laskaris/qsim,1,0,1,0,2023-10-19,2023-10-19
learnqc/code,2,0,2,1,2024-06-06,2024-09-09
BBN-Q/Cliffords.jl,31,56,16,3,2015-07-20,2021-07-01
luigizuccarelli/qiskit-sdk-py,1,0,1,1,2018-03-05,2018-03-05
Microsoft/QuantumKatas,887,1411,228,22,2018-07-15,2024-08-09
SimoneGasperini/qiskit-symb,8,21,5,3,2023-06-20,2024-01-16
Pug-coder/pennylane,1,1,2,0,2022-10-27,2022-10-27
indian-institute-of-science-qc/qiskit-terra,1,0,1,1,2019-06-03,2019-06-03
terasakisatoshi/quri-parts,31,25,1,6,2024-01-21,2024-04-18
rashidnhm/qml-deploy-cleanup,4,5,2,2,2023-10-19,2023-11-03
nagarajRPoojari/Hybrid-QC-CNN,2,1,3,0,2024-01-10,2024-01-13
anedumla/qiskit-experiments,2,0,1,0,2022-11-10,2022-11-14
Pandinosaurus/strawberryfields,306,22,2,1,2019-05-06,2021-04-29
mohsin-0/qsp,3,0,2,3,2024-02-11,2024-04-12
qiskit-community/qiskit-research,118,159,21,9,2022-06-01,2024-10-30
StephanieWehner/SimulaQron,283,299,48,12,2017-08-21,2024-08-23
dlyongemallo/qiskit-zx-transpiler,49,9,3,3,2023-11-22,2024-07-24
MichalKononenko/qutip,2,0,1,0,2016-06-05,2017-05-16
laurynasas/qsim,1,0,1,1,2021-08-19,2021-08-19
diego-plan9/qiskit-terra,15,3,5,0,2018-01-12,2018-12-03
manoelmarques/qiskit-tutorials,19,0,6,0,2019-03-13,2020-10-02
alec-eickbusch/ECD_control,5,8,4,1,2022-01-09,2024-10-24
burgholzer/qiskit-finance,1,0,1,1,2024-09-03,2024-09-03
JoSQUANTUM/pygrnd,2,2,2,0,2023-03-01,2024-05-02
BestQuark/mentpy,15,5,3,12,2023-05-06,2023-10-11
devilkiller-ag/Quantum-Circuit-Game-Engine,4,7,3,2,2023-12-29,2024-04-05
jamestiotio/qiskit,2,0,2,0,2023-08-26,2023-08-27
microsoft/qsharp,1954,3601,68,126,2023-01-30,2024-10-29
Zagrevyum/QuantumKatas,1,0,1,0,2021-03-22,2021-03-22
Strilanc/Quirk,511,482,71,49,2014-03-09,2024-10-21
quantumlib/Qualtran,1478,2315,43,217,2022-07-07,2024-10-29
SoftwareQuTech/SimulaQron,283,299,48,12,2017-08-21,2024-08-23
QuantumSystems/quantum-computing,2,0,1,0,2016-08-13,2016-08-22
QuTech-Delft/qtt,885,650,36,0,2016-05-03,2023-12-14
DRA-chaos/qiskit-ignis,1,0,1,0,2021-10-04,2021-10-04
Harmohit-Singh/qpp,1,0,1,0,2021-01-21,2021-01-21
uJhin/qiskit-tutorials,1,0,1,1,2022-06-16,2022-06-16
eliarbel/qiskit-ignis,1,0,1,1,2022-05-26,2022-05-26
DevinaSingh/ScaffCC,1,0,1,0,2019-07-14,2019-07-14
shangtai/qibo-error-mitigation,4,0,1,0,2022-03-28,2022-04-04
terasakisatoshi/chemqulacs,14,5,1,9,2024-01-21,2024-04-12
logankilpatrick/Yao.jl,1,0,1,1,2020-10-27,2020-10-27
uJhin/pennylane-sf,1,0,1,1,2022-06-14,2022-06-14
AbdullahKazi500/bqskit,1,0,1,1,2024-05-30,2024-05-30
nataliejpg/Qcodes,1,0,1,0,2016-10-26,2016-10-26
georgios-ts/tequila,3,4,2,3,2020-12-08,2020-12-12
ArlineQ/arline_benchmarks,11,12,8,3,2020-06-23,2023-04-19
DLR-RB/QUEASARS,45,15,2,4,2023-11-07,2024-07-31
wshanks/qiskit-experiments,3,0,2,1,2021-05-20,2022-12-08
watermarkhu/qsurface,41,40,10,9,2020-06-23,2024-07-09
dwavesystems/dwave-cloud-client,674,427,40,78,2017-10-15,2024-10-29
quantumTR/QuantumKatas,1,0,1,1,2024-01-11,2024-01-11
Alan-Robertson/python-qinfer,1,0,1,0,2017-04-19,2017-04-19
QuantumCircuitsGlasgow/qkit-gla,18,0,7,12,2021-05-04,2023-09-19
vm6502q/ProjectQ,21,12,4,0,2019-01-27,2020-11-17
alejomonbar/pennylane,3,0,1,0,2020-10-20,2023-04-10
avati/mahout,1,0,1,0,2014-07-21,2014-07-21
a-kapila/qiskit-terra,3,0,1,0,2020-07-21,2020-07-31
yehuda-naveh/qiskit-ignis-1,11,0,1,0,2019-03-03,2020-04-21
kemperlab/sumaq,13,2,4,0,2023-12-02,2024-04-02
uJhin/QuEST,1,0,1,1,2022-07-11,2022-07-11
Vutshi/qutip,1,0,1,0,2016-04-08,2016-04-08
stefan-woerner/qiskit-aqua,138,74,13,0,2018-12-16,2021-04-20
pasqal-io/horqrux,31,18,5,12,2023-11-15,2024-09-19
Ericgig/qutip,11,9,2,1,2021-03-02,2024-07-30
0sophy1/Quantum-Challenge-Grader,1,0,1,0,2024-08-21,2024-08-21
daveaditya/CSCI_561_AI,2,4,2,0,2022-10-01,2023-10-15
CQCL/qiskit-terra,1,0,1,0,2018-11-21,2018-11-21
kevinsung/qiskit-cold-atom,1,5,2,0,2024-01-12,2024-01-12
daka1510/qiskit-ibm-runtime,1,0,1,0,2022-01-18,2022-01-18
IsFairy/qmap,2,0,1,0,2022-06-13,2022-06-22
DeputyShrute/Project-Soros,13,3,1,6,2020-11-12,2021-03-09
Sahar2/qiskit-tutorials,1,0,1,0,2019-08-15,2019-08-15
MarionQuandela/Perceval,6,1,2,0,2023-07-07,2024-09-19
Psrit/paulicirq,8,6,1,1,2020-09-25,2023-03-25
NicholasChoong/QuantumTransformer,15,2,1,13,2024-04-30,2024-07-15
awcross1/qiskit-terra,1,1,2,0,2017-12-09,2017-12-09
a-poor/QGates,3,1,1,1,2020-10-11,2020-11-14
ProThicc/qiskit-fix,1,0,1,1,2024-06-21,2024-06-21
mit-han-lab/torchquantum,283,443,109,66,2021-02-11,2024-10-14
zapatacomputing/qe-forest,68,32,14,0,2020-04-29,2022-06-23
charmerDark/qiskit-terra,28,40,2,5,2022-03-05,2023-03-27
warrench/qiskit-metal,1,0,1,0,2021-06-02,2021-06-02
bartek-bartlomiej/qiskit-terra,1,0,1,0,2021-06-22,2021-06-22
david-pl/QuantumOptics.jl,2,0,2,1,2017-03-31,2021-12-21
QuantumBFS/Yao.jl,504,1298,109,39,2018-04-13,2024-08-27
zapatacomputing/qe-cirq,50,33,13,1,2021-02-21,2022-06-23
oerc0122/QuEST,27,4,1,5,2019-02-26,2019-03-06
quartiq/artiq,1,8,2,0,2022-06-15,2022-06-15
mezze-team/mezze,1,1,2,0,2020-11-13,2020-11-13
benjvmin93/graphix,1,1,2,0,2024-07-05,2024-07-05
calculquebec/pennylane-snowflurry,29,6,3,0,2024-02-19,2024-10-07
cda-tum/mqt-qmap,546,842,29,25,2021-01-08,2024-10-28
florianstoegmueller/qfr,4,0,1,0,2020-06-03,2020-10-21
asw101/python-fastapi-pypy,2,0,1,2,2024-08-23,2024-08-23
BBN-Q/Quince,20,32,8,5,2016-11-21,2023-12-07
kbarkhqs/qoqo_qasm,1,0,1,0,2023-03-09,2023-03-09
dwavesystems/minorminer,252,278,42,19,2017-12-26,2024-10-15
eliarbel/qiskit-experiments,1,0,1,1,2024-05-28,2024-05-28
daxfohl/Cirq,4,0,1,0,2021-02-01,2022-04-27
cirKITers/masKIT,69,81,8,5,2021-02-27,2022-11-09
FrancescoMercaldo/tami,1,0,1,0,2022-11-09,2022-11-09
1tnguyen/cuda-quantum,2,0,1,0,2023-11-13,2023-11-14
terasakisatoshi/scikit-qulacs,5,0,1,5,2024-01-21,2024-04-12
jackcgai/mahout,2,0,1,0,2017-10-23,2018-05-18
Takishima/mindquantum,27,12,4,4,2022-04-04,2023-02-27
QSAR-UBC/ionizer,26,8,4,2,2023-04-12,2024-08-24
qumoptly/Quirk,1,0,1,0,2020-07-08,2020-07-08
erichulburd/Cirq,6,0,1,0,2021-07-10,2021-07-15
arshpreetsingh/pennylane,5,0,1,0,2021-08-30,2022-06-22
uJhin/qutip,1,0,1,1,2022-05-03,2022-05-03
Spaceenter/OpenFermion,3,0,1,0,2017-11-24,2018-06-04
AWS-BugBust-01/python_repos,32,2,13,29,2021-11-08,2022-11-03
ajberdy/oqpy,9,1,3,0,2023-05-02,2023-08-25
QuTech-Delft/qiskit-quantuminspire,48,6,6,3,2024-08-28,2024-10-29
Yash-10/toqito,1,0,1,0,2024-06-10,2024-06-10
lanl/qmasm,10,31,7,0,2016-08-16,2019-06-11
pedrorrivero/qiskit-iqx-tutorials,1,0,1,0,2019-10-04,2019-10-04
nunofernandes-plight/qiskit-sdk-py,1,0,1,1,2021-02-20,2021-02-20
zpparks314/xacc-vqe-bayesopt,1,0,1,0,2018-06-26,2018-06-26
Quandela/Perceval,471,233,59,4,2022-03-30,2024-10-29
AngeloDanducci/qiskit-aer,1,0,1,1,2023-07-27,2023-07-27
KwiatLab/Quantum-Tomography,42,17,11,4,2020-06-23,2024-10-27
rigetti/pyquil,1795,2912,274,223,2017-01-10,2024-10-25
singular-value/quantum-optimal-control,1,1,2,0,2018-11-08,2018-11-08
hsirtl/traveling-salesperson-qio-maps,1,0,1,0,2022-07-12,2022-07-12
Saiprasad16/quantum,1,0,1,1,2021-05-10,2021-05-10
ichuang/pyqsp,5,2,6,2,2021-12-05,2024-05-20
willjmax/pennylane,1,0,1,0,2024-05-28,2024-05-28
Akshita07/Qcodes,151,139,3,10,2020-07-20,2023-01-25
carstenblank/qiskit-aws-braket-provider,11,4,4,2,2020-09-21,2024-04-14
shenzhi-git/QPanda-2,15,0,1,0,2020-03-30,2023-07-14
rbhatt-pm/quantum,1,0,1,0,2023-03-24,2023-03-24
qutech/filter_functions,101,99,4,10,2019-08-06,2024-10-16
softwareqinc/qpp,175,301,27,2,2014-11-13,2024-08-30
gadial/qiskit-aer,2,0,1,1,2020-10-01,2021-03-10
uJhin/ReCirq,1,0,1,1,2022-05-24,2022-05-24
redx94/Quick-SaaS-Builder,14,35,5,0,2024-10-05,2024-10-27
shef4/Cirq,11,0,1,0,2023-09-28,2024-06-06
trbromley/pennylane,7,0,1,0,2020-03-10,2020-05-13
knw500/thewalrus,1,0,1,0,2020-03-03,2020-03-03
silq-lang/silq,35,109,29,11,2020-06-16,2023-09-04
QutacQuantum/qugen,5,5,4,1,2023-11-03,2024-05-12
nunofernandes-plight/pyquil,1,0,1,1,2021-02-20,2021-02-20
woodsp-ibm/qiskit-algorithms,2,3,3,0,2024-07-17,2024-07-29
mirespace/python-azure,1,0,1,1,2022-11-27,2022-11-27
zachparrott/pyEPR,4,0,1,0,2021-12-02,2022-11-17
mkeshita/strawberryfields,1,0,1,1,2022-03-30,2022-03-30
adityavs/mahout,1,0,1,0,2017-10-02,2017-10-02
fazliberkordek/quantum,1,0,1,1,2024-07-23,2024-07-23
jcmgray/quimb,218,689,114,61,2017-10-24,2024-10-28
Jayich-Lab/artiq,9,5,3,2,2021-09-29,2023-11-06
1Stohk1/tami,1,0,1,0,2020-11-02,2020-11-02
unitaryfund/pyqrack,30,78,7,1,2021-09-02,2024-09-01
Cmolengraaf/SimulaQron,1,0,1,0,2018-10-29,2018-10-29
JoelPasvolsky/dwave-ocean-sdk,1,0,1,0,2023-11-24,2023-11-24
zhizhenzhong/qick,1,0,1,0,2023-12-02,2023-12-02
elijun831/qtum,31,0,1,10,2024-02-10,2024-04-24
nunofernandes-plight/quantum-circuit,1,0,1,1,2021-02-20,2021-02-20
drewrisinger/artiq,5,0,1,0,2018-07-10,2018-10-22
dgupta-hqs/qoqo_aqt,1,0,1,0,2024-09-19,2024-09-19
Krastanov/QuantumOptics.jl,2,0,1,2,2024-09-27,2024-09-28
mkeshita/qiskit-aqua,1,0,1,1,2022-03-30,2022-03-30
TejasAvinashShetty/grove,1,0,1,1,2021-02-17,2021-02-17
NonequilibriumDynamics/KadanoffBaym.jl,22,12,3,0,2021-01-11,2024-03-17
TangrisJones/Hackathon2021,1,0,1,0,2021-07-26,2021-07-26
nunofernandes-plight/ReCirq,1,0,1,1,2021-02-20,2021-02-20
huawei-quantum-challenges/ProjectQ,8,0,1,7,2019-08-13,2019-08-13
rigetti/qiskit-rigetti,57,115,23,16,2021-06-25,2024-10-23
maxwell04-wq/qiskit-terra-plot-gate-map,1,0,1,0,2023-06-08,2023-06-08
DanPuzzuoli/qiskit-aer,13,12,4,0,2020-03-13,2020-11-19
zpparks314/xacc-vqe,2,0,1,0,2019-06-13,2019-07-01
chriseclectic/qiskit-aer,20,8,8,0,2019-07-05,2021-12-14
OpenQuantumComputing/QAOA,26,3,8,3,2023-09-06,2024-09-06
jake-arkinstall-quantinuum/tket,2,0,2,0,2023-07-07,2023-10-12
joshcombes/pyquil,8,2,1,2,2019-05-26,2019-07-03
sarvex/QPanda2,1,0,1,0,2024-05-01,2024-05-01
khlaifiabilel/cuQuantum,1,0,1,1,2022-05-16,2022-05-16
NOUIY/Cirq,266,22,6,71,2021-12-02,2024-10-21
willh727-OQC/qat,1,0,1,0,2024-09-13,2024-09-13
qiboteam/qibocal,1034,2886,39,117,2022-07-08,2024-10-29
lanl/edif2qmasm,1,1,2,0,2017-05-02,2017-05-02
